x;y;clip;entropia;nombre;dominado;nrocorrida;ssim;id
31;2;4,78573047039423;6,96070885704443;3715982_IJMPO-34-47-g001;N;7;0,761318073429909;11557
40;2;19,7927595315742;7,69604216858334;3715982_IJMPO-34-47-g001;N;7;0,443214633971364;11559
38;2;15,4838811315961;7,6034371112734;3715982_IJMPO-34-47-g001;N;7;0,484771004843564;11564
2;7;0,32503736984809;5,45105019145377;3715982_IJMPO-34-47-g001;N;7;0,995430242330975;11569
34;2;6,90935082138236;7,18035093030472;3715982_IJMPO-34-47-g001;N;7;0,672538864755257;11571
17;2;128;7,88485930100564;3715982_IJMPO-34-47-g001;N;5;0,283055967298863;11576
13;2;16,7589124553456;7,64919057438568;3715982_IJMPO-34-47-g001;N;5;0,472287048562833;11577
22;2;0;7,89456299290598;3715982_IJMPO-34-47-g001;N;5;0,277877636481366;11580
2;14;5,18199741080519;6,98621986438822;3715982_IJMPO-34-47-g001;N;5;0,749850318058559;11583
2;2;0,0620971787254945;5,132775720299;3715982_IJMPO-34-47-g001;N;5;0,999352969342795;11589
56;2;9,47294161770251;7,35987554549852;3715982_IJMPO-34-47-g001;N;5;0,592397921191364;11592
50;2;19,1747258527085;7,6826820890963;3715982_IJMPO-34-47-g001;N;5;0,447456008638331;11599
9;2;128;7,87880931100609;3715982_IJMPO-34-47-g001;N;8;0,28636419745181;11603
3;2;0,41496516823875;5,552822546146;3715982_IJMPO-34-47-g001;N;8;0,993380962270632;11606
24;2;3,91789211533369;6,83941508594556;3715982_IJMPO-34-47-g001;N;8;0,80329108252699;11608
34;2;25,2031691593652;7,76441258826858;3715982_IJMPO-34-47-g001;N;8;0,411304002702762;11610
24;2;6,19038781948854;7,12867626683469;3715982_IJMPO-34-47-g001;N;8;0,699257302527156;11615
24;2;13,400006458435;7,53080186956444;3715982_IJMPO-34-47-g001;N;8;0,514512432775592;11619
48;2;14,5318900609028;7,57226343549212;3715982_IJMPO-34-47-g001;N;8;0,496235176716824;11625
3;2;0,434486459249769;5,565286305227;3715982_IJMPO-34-47-g001;N;8;0,993059296435492;11627
52;2;14,0528356621088;7,55052776019746;3715982_IJMPO-34-47-g001;N;8;0,502151081100789;11632
