x;y;clip;entropia;nombre;dominado;nrocorrida;ssim;id
2;17;0;7.98399469009326;1000_IM-0003-1001;S;1;0.56739884953463;8177
2;2;2.54737786740829;7.62273138565877;1000_IM-0003-1001;N;1;0.842310579356331;8178
7;2;1.75913586450501;7.28051727658494;1000_IM-0003-1001;S;1;0.913603376248666;8179
2;25;0;7.98669420134631;1000_IM-0003-1001;N;1;0.54831245062003;8180
15;2;5.07242628200089;7.67981061215095;1000_IM-0003-1001;S;1;0.702017670760725;8181
2;18;0;7.98484313895067;1000_IM-0003-1001;S;1;0.565281938451125;8182
5;15;1.47402238841804;7.04542190242872;1000_IM-0003-1001;S;1;0.933387007726989;8183
2;11;72.0061715279823;7.98567884008192;1000_IM-0003-1001;N;6;0.588747114486885;8184
2;8;79.583905792095;7.98562392537181;1000_IM-0003-1001;N;6;0.605856204872044;8185
2;7;64;7.9828511619824;1000_IM-0003-1001;N;6;0.61236061042438;8186
2;2;2.63517564586297;7.62057501432816;1000_IM-0003-1001;S;6;0.834108145225447;8187
2;129;2.09827599990467;7.40186880430049;1000_IM-0003-1001;S;6;0.878705136294369;8188
2;2;6.9053819044516;7.88803635303091;1000_IM-0003-1001;N;6;0.697184785257028;8189
2;16;0;7.98590266688878;1000_IM-0003-1001;S;6;0.567235791348139;8190
2;2;0.903575229311791;7.10372690374116;1000_IM-0003-1001;N;6;0.970297837518723;8191
2;7;1.69073111078779;7.34267870838204;1000_IM-0003-1001;S;6;0.909164107542706;8192
6;2;1.3325010601957;7.15758950843685;1000_IM-0003-1001;S;6;0.945048288103396;8193
2;2;8.73821652314427;7.90975863207727;1000_IM-0003-1001;S;6;0.686094519152623;8194
3;2;0.280396716909799;6.75823538300328;1000_IM-0003-1001;S;6;0.995471921137486;8195
2;12;3.87567194684533;7.80855148868678;1000_IM-0003-1001;N;6;0.747878696798207;8196
2;4;128;7.97209801905558;1000_IM-0003-1001;N;6;0.64248797143906;8197
7;2;0.816559926641041;6.96095288164823;1000_IM-0003-1001;S;6;0.974870477538878;8198
3;2;0.211139874788415;6.72297455766243;1000_IM-0003-1001;N;6;0.996931516757169;8199
4;8;1.72882461767667;7.17297178545747;1000_IM-0003-1001;S;6;0.911845827691603;8200
2;3;128;7.96902166400668;1000_IM-0003-1001;N;6;0.645809809509489;8201
2;2;2.97441411563977;7.69808133349585;1000_IM-0003-1001;N;6;0.805787152356247;8202
4;2;0.021737481347742;6.64876767905649;1000_IM-0003-1001;S;6;0.999863315167694;8203
2;3;0.30657242723094;6.79554591285062;1000_IM-0003-1001;N;6;0.994563263240987;8204
2;2;3.13271347003372;7.71738570457695;1000_IM-0003-1001;N;6;0.794140210397204;8205
2;4;0.824528160547139;7.02977485951746;1000_IM-0003-1001;S;6;0.97261397504003;8206
2;2;0;7.90943591537923;1000_IM-0003-1001;S;5;0.684564241971412;8207
2;23;0;7.98618219911029;1000_IM-0003-1001;N;5;0.553813181503453;8208
2;7;48.6796284039057;7.9828511619824;1000_IM-0003-1001;N;5;0.61236061042438;8209
2;4;95.9138428147908;7.97209801905558;1000_IM-0003-1001;N;5;0.64248797143906;8210
2;8;0;7.98562392537181;1000_IM-0003-1001;N;5;0.605856204872044;8211
2;25;128;7.98669420134631;1000_IM-0003-1001;N;5;0.54831245062003;8212
2;13;3.13712226484684;7.69682424557166;1000_IM-0003-1001;S;5;0.795922589663697;8213
3;2;127.956059472999;7.93671536544217;1000_IM-0003-1001;S;5;0.650731299590916;8214
2;256;2.64916910513722;7.45759739553736;1000_IM-0003-1001;S;5;0.84697712996291;8215
3;2;0.518382348164465;6.87309278870058;1000_IM-0003-1001;S;5;0.988348491236162;8216
2;12;0;7.98592088168809;1000_IM-0003-1001;N;5;0.581581455418554;8217
4;2;0.497868548891937;6.8348802265823;1000_IM-0003-1001;S;5;0.989007577100076;8218
2;9;2.88929332363847;7.66008529340209;1000_IM-0003-1001;S;5;0.813734413377973;8219
2;2;0.0134099084436556;6.64916295353447;1000_IM-0003-1001;N;5;0.999942056129489;8220
2;3;128;7.96902166400668;1000_IM-0003-1001;N;5;0.645809809509489;8221
11;2;0.0615363759427225;6.65313821648911;1000_IM-0003-1001;S;5;0.999241894009547;8222
2;2;0.13767974286074;6.69707590912539;1000_IM-0003-1001;N;5;0.998256940993134;8223
2;256;1.56734490238351;7.19976532174126;1000_IM-0003-1001;S;5;0.927937559163323;8224
3;2;43.8206461903907;7.93671536544217;1000_IM-0003-1001;S;4;0.650731299590916;8225
2;7;92.0894174729477;7.9828511619824;1000_IM-0003-1001;N;4;0.61236061042438;8226
2;2;4.94605710325851;7.84457848787292;1000_IM-0003-1001;N;4;0.721515359627143;8227
2;8;65.7800515695876;7.98562392537181;1000_IM-0003-1001;N;4;0.605856204872044;8228
2;3;0;7.96902166400668;1000_IM-0003-1001;N;4;0.645809809509489;8229
2;129;2.74943275297001;7.54203846523333;1000_IM-0003-1001;S;4;0.829974877764844;8230
2;135;1.78005156958757;7.30341598417138;1000_IM-0003-1001;S;4;0.908511136038354;8231
2;129;2.88117381234592;7.58044826382293;1000_IM-0003-1001;S;4;0.813810815083949;8232
2;2;8.99795351206691;7.91073856610115;1000_IM-0003-1001;S;4;0.685595643732972;8233
2;2;7.66091404365204;7.90924756950322;1000_IM-0003-1001;S;4;0.691399882849416;8234
2;23;0;7.98618219911029;1000_IM-0003-1001;N;4;0.553813181503453;8235
